Level	Rule Name	Subject	Property	Value
WARN	missing_xrefs	obo:HMDM_0000846	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000847	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000848	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000881	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000887	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000896	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000900	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000901	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000902	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000907	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000909	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000910	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000911	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000912	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000913	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000914	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000915	oboInOwl:hasDbXref	
WARN	missing_xrefs	obo:HMDM_0000916	oboInOwl:hasDbXref	
